File Path| Bundle Name| Line Number| Line Content| CSS Variable Name
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1712| color: #ffffff;| --litmos-none-background,--litmos-navbar-text-color,--white-background
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1713| background-color: #428bca;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1714| border-color: #357ebd;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1722| color: #ffffff;| --litmos-none-background,--litmos-navbar-text-color,--white-background
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1723| background-color: #3276b1;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1724| border-color: #285e8e;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1748| background-color: #428bca;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1749| border-color: #357ebd;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1753| color: #ffffff;| --litmos-none-background,--litmos-navbar-text-color,--white-background
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1754| background-color: #f0ad4e;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1755| border-color: #eea236;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1763| color: #ffffff;| --litmos-none-background,--litmos-navbar-text-color,--white-background
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1764| background-color: #ed9c28;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1765| border-color: #d58512;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1789| background-color: #f0ad4e;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1790| border-color: #eea236;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1794| color: #ffffff;| --litmos-none-background,--litmos-navbar-text-color,--white-background
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1795| background-color: #d9534f;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1796| border-color: #d43f3a;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1804| color: #ffffff;| --litmos-none-background,--litmos-navbar-text-color,--white-background
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1805| background-color: #d2322d;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1806| border-color: #ac2925;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1830| background-color: #d9534f;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1831| border-color: #d43f3a;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1835| color: #ffffff;| --litmos-none-background,--litmos-navbar-text-color,--white-background
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1836| background-color: #5cb85c;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1837| border-color: #4cae4c;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1845| color: #ffffff;| --litmos-none-background,--litmos-navbar-text-color,--white-background
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1846| background-color: #47a447;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1847| border-color: #398439;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1871| background-color: #5cb85c;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1872| border-color: #4cae4c;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1876| color: #ffffff;| --litmos-none-background,--litmos-navbar-text-color,--white-background
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1877| background-color: #5bc0de;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1878| border-color: #46b8da;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1886| color: #ffffff;| --litmos-none-background,--litmos-navbar-text-color,--white-background
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1887| background-color: #39b3d7;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1888| border-color: #269abc;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1912| background-color: #5bc0de;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1913| border-color: #46b8da;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1918| color: #428bca;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1941| color: #2a6496;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1950| color: #999999;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 2027| -moz-osx-font-smoothing: grayscale;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 2840| border-top: 4px solid #000000;| --grey-grey-15,--litmos-button-foreground,--litmos-primary-color-foreground
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 2866| background-color: #ffffff;| --litmos-none-background,--litmos-navbar-text-color,--white-background
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 2867| border: 1px solid #cccccc;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 2884| background-color: #e5e5e5;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 2893| color: #333333;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 2899| color: #262626;| --litmos-toolbar-background-color
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 2901| background-color: #f5f5f5;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 2907| color: #ffffff;| --litmos-none-background,--litmos-navbar-text-color,--white-background
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 2909| background-color: #428bca;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 2916| color: #999999;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 2941| color: #999999;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 2961| border-bottom: 4px solid #000000;| --grey-grey-15,--litmos-button-foreground,--litmos-primary-color-foreground
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 2980| border-top-color: #333333;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 2988| border-top-color: #fff;| --litmos-none-background
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 2992| border-bottom-color: #333333;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 3000| border-bottom-color: #fff;| --litmos-none-background
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 3344| color: #555555;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 3346| background-color: #eeeeee;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 3347| border: 1px solid #cccccc;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 3461| /* background-color: #eeeeee;*/| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 3465| color: #999999;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 3470| color: #999999;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 3479| background-color: #eeeeee;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 3480| border-color: #428bca;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 3486| border-top-color: #2a6496;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 3487| border-bottom-color: #2a6496;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 3494| background-color: #e5e5e5;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 3502| /* border-bottom: 1px solid #dddddd;*/| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 3518| /*  border-color: #eeeeee #eeeeee #dddddd;*/| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 3524| /*  color: #555555;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 3526| background-color: #ffffff;| --litmos-none-background,--litmos-navbar-text-color,--white-background
